name,description,value,type,default_value
mc_block_gas_limit,maximum amount of gas that can be consumed within a single block on masterchain,2500000,uint64,0
mc_freeze_due_limit,accumulated storage fees (in nanoTON) at which a contract is frozen on masterchain,100000000,uint64,0
mc_delete_due_limit,accumulated storage fees (in nanoTON) at which a contract is deleted on masterchain,1000000000,uint64,0
bytes_underload,limit on the block size in bytes. state when the shard realizes that there is no load and is inclined to merge,131072,uint32,0
bytes_soft_limit,limit on the block size in bytes. when this limit is reached internal messages stop being processed,524288,uint32,0
bytes_hard_limit,absolute maximum bytes size of block,1048576,uint32,0
gas_underload,limit on the block size in gas. state when the shard realizes that there is no load and is inclined to merge,2000000,uint32,0
gas_soft_limit,limit on the block size in gas. when this limit is reached internal messages stop being processed,10000000,uint32,0
gas_hard_limit,absolute maximum gas of block,20000000,uint32,0
lt_delta_underload,limits on the difference in logical time between the first and the last transaction. state when the shard realizes that there is no load and is inclined to merge,1000,uint32,0
lt_delta_soft_limit,limits on the difference in logical time between the first and the last transaction. when this limit is reached internal messages stop being processed,5000,uint32,0
lt_delta_hard_limit,absolute maximum difference in logical time between the first and the last transaction of block,10000,uint32,0
mc_bytes_underload,limit on the block size in bytes. state when the shard realizes that there is no load and is inclined to merge on masterchain,131072,uint32,0
mc_bytes_soft_limit,limit on the block size in bytes. when this limit is reached internal messages stop being processed on masterchain,524288,uint32,0
mc_bytes_hard_limit,absolute maximum bytes size of block on masterchain,1048576,uint32,0
mc_gas_underload,limit on the block size in gas. state when the shard realizes that there is no load and is inclined to merge on masterchain,200000,uint32,0
mc_gas_soft_limit,limit on the block size in gas. when this limit is reached internal messages stop being processed on masterchain,1000000,uint32,0
mc_gas_hard_limit,absolute maximum gas of block on masterchain,2500000,uint32,0
mc_lt_delta_underload,limits on the difference in logical time between the first and the last transaction. state when the shard realizes that there is no load and is inclined to merge on masterchain,1000,uint32,0
mc_lt_delta_soft_limit,limits on the difference in logical time between the first and the last transaction. when this limit is reached internal messages stop being processed on masterchain,5000,uint32,0
mc_lt_delta_hard_limit,absolute maximum difference in logical time between the first and the last transaction of block on masterchain,10000,uint32,0
lump_price,"base price for forwarding a message, regardless of its size or complexity",400000,uint64,0
bit_price,cost per 65536 bit of message forwarding,26214400,uint64,0
cell_price,cost per 65536 cells of message forwarding,2621440000,uint64,0
ihr_factor,factor used to calculate the cost of immediate hypercube routing (IHR),98304,uint32,0
first_frac,fraction of the remaining remainder that will be used for the first transition along the message route,21845,uint32,0
next_frac,fraction of the remaining remainder that will be used for subsequent transitions along the message route,21845,uint32,0
mc_lump_price,"base price for forwarding a message, regardless of its size or complexity on masterchain",10000000,uint64,0
mc_bit_price,cost per 65536 bit of message forwarding on masterchain,655360000,uint64,0
mc_cell_price,cost per 65536 cells of message forwarding on masterchain,65536000000,uint64,0
mc_ihr_factor,factor used to calculate the cost of immediate hypercube routing (IHR) on masterchain,98304,uint32,0
mc_first_frac,fraction of the remaining remainder that will be used for the first transition along the message route on masterchain,21845,uint32,0
mc_next_frac,fraction of the remaining remainder that will be used for subsequent transitions along the message route on masterchain,21845,uint32,0
utime_since,initial Unix timestamp from which the specified prices apply,0,UnixTime,0
bit_price_ps,storage price for one bit for 65536 seconds,1,uint64,1
cell_price_ps,storage price for one cell bit for 65536 seconds,500,uint64,500
mc_bit_price_ps,masterchain storage price for one bit for 65536 seconds,1000,uint64,1000
mc_cell_price_ps,masterchain storage price for one cell bit for 65536 seconds,500000,uint64,500000
mc_catchain_lifetime,lifetime of masterchain catchain groups in seconds,250,uint32,200
shard_catchain_lifetime,lifetime of shardchain catchain groups in seconds,250,uint32,200
shard_validators_lifetime,lifetime of a shardchain validators group in seconds,1000,uint32,3000
shard_validators_num,number of validators in each shardchain validation group,23,uint32,7
masterchain_block_fee,reward for block creation in the TON Blockchain,1700000000,Grams,0
basechain_block_fee,number of validators in each shardchain validation group,1000000000,Grams,0
